crawl 1[0.30 seconds used]: {'url': 'http://info.tibet.cn/newzt/yuanzang/yzcg/200505/t20050531_33920.htm', 'anchor_text': u'\u5bf9\u53e3\u652f\u63f4\u897f\u85cf\u7ecf\u6d4e\u5efa\u8bbe\u7684\u4e30\u7855\u6210\u679c', 'value': 3},  [116 urls left in queue]
crawl 2[0.23 seconds used]: {'url': 'http://info.tibet.cn/hwsj/lw/201111/t20111102_1151891.html', 'anchor_text': u'\u7231\u6c99\u5c3c\u4e9a\u4ee3\u8868\u56e2\uff1a\u897f\u85cf\u7684\u53d1\u5c55\u8ba9\u4eba\u94a6\u4f69', 'value': 4},  [123 urls left in queue]
crawl 3[0.22 seconds used]: {'url': 'http://info.tibet.cn/jiaotong_pd/jtpd_jtyaowen/201111/t20111102_1151855.htm', 'anchor_text': u'\u3010\u805a\u7126\u3011\u9752\u85cf\u94c1\u8def\uff1a\u96ea\u57df\u9ad8\u539f\u7ecf\u6d4e\u53d1\u5c55\u7684\u5927\u52a8\u8109', 'value': 4},  [145 urls left in queue]
crawl 4[0.22 seconds used]: {'url': 'http://info.tibet.cn/news/index/xzyw/201505/t20150521_2979230.htm', 'anchor_text': u'\u201c\u5341\u4e8c\u4e94\u201d\u6536\u5b98\u5e74 \u5173\u6ce8\u897f\u85cf\u751f\u6001\u6587\u660e\u5efa\u8bbe', 'value': 4},  [176 urls left in queue]
crawl 5[0.93 seconds used]: {'url': 'http://www.vtibet.com/tbch/2016zt/zgmxzgs_7608/ypgj/201601/t20160113_369802.html', 'anchor_text': u'\u4e60\u8fd1\u5e73\u7684\u897f\u85cf\u60c5\uff1a\u201c\u85cf\u65cf\u548c\u6c49\u65cf\u662f\u4e00\u5bb6\u4eba\u201d', 'value': 3},  [246 urls left in queue]
crawl 6[0.46 seconds used]: {'url': 'http://www.xzxw.com/rkz/mswh/201601/t20160114_1034847.html', 'anchor_text': u'\u65e5\u5580\u5219\u57fa\u5c42\u516c\u5b89\u8b66\u8425\u6587\u5316\u5efa\u8bbe\u6210\u679c\u6587\u827a\u6c47\u6f14', 'value': 3},  [310 urls left in queue]
crawl 7[0.13 seconds used]: {'url': 'http://www.tibet.cn/jiaotong_pd/xzlsnjtfz/jkfdzhh/gl/201104/t20110425_1011223.html', 'anchor_text': u'\u897f\u85cf\u4ea4\u901a\u5efa\u8bbe\u6210\u679c\u663e\u8457 \u519c\u7267\u6c11\u51fa\u884c\u66f4\u52a0\u4fbf\u5229', 'value': 3},  [323 urls left in queue]
crawl 8[0.25 seconds used]: {'url': 'http://www.tibet.cn/2009shipin/news/sp/201102/t20110221_930304.html', 'anchor_text': u'2011\u5e74\u897f\u85cf\u8fdb\u4e00\u6b65\u6269\u5927\u65b0\u519c\u6751\u5efa\u8bbe\u6210\u679c', 'value': 3},  [404 urls left in queue]
crawl 9[0.33 seconds used]: {'url': 'http://www.tibet.cn/holiday/zmft/201209/t20120920_1782011.htm', 'anchor_text': u'\u7f57\u66f4\u524d\uff1a\u671f\u5f85\u897f\u85cf\u6444\u5f71\u6709\u66f4\u597d\u53d1\u5c55', 'value': 4},  [436 urls left in queue]
crawl 10[0.24 seconds used]: {'url': 'http://www.tibet.cn/news/index/xzyw/201209/t20120927_1783741.htm', 'anchor_text': u'[\u897f\u85cf\u884c]\u6c11\u65cf\u624b\u5de5\u4e1a\u8de8\u8d8a\u5f0f\u53d1\u5c55\u52a9\u63a8\u897f\u85cf\u7ecf\u6d4e', 'value': 4},  [475 urls left in queue]
crawl 11[0.31 seconds used]: {'url': 'http://www.tibet.cn/news/index/xzyw/201105/t20110526_1054121.htm', 'anchor_text': u'\u548c\u5e73\u89e3\u653e60\u5e74\u897f\u85cf\u6c11\u65cf\u624b\u5de5\u4e1a\u8de8\u8d8a\u53d1\u5c55', 'value': 4},  [509 urls left in queue]
